application_number,application_type,sponsor_name,generic_name,brand_name,manufacturer_name,marketing_status,therapeutic_class_epc,therapeutic_class_cs,mechanism_of_action,regulatory_action_type,submission_type,review_priority,approval_year,submission_status_date,product_type,route,dosage_form,substance_name,rxcui,unii
NDA021977,NDA,TAKEDA PHARMS USA,LISDEXAMFETAMINE DIMESYLATE,VYVANSE,"Takeda Pharmaceuticals America, Inc.",Prescription,,,,AP,SUPPL,UNKNOWN,2011,20110316,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,LISDEXAMFETAMINE DIMESYLATE,854830,SJT761GEGS
ANDA213136,ANDA,UNICHEM,ATENOLOL,ATENOLOL,"Unichem Pharmaceuticals (USA), Inc.",Prescription,beta-Adrenergic Blocker [EPC],,Adrenergic beta-Antagonists [MoA],AP,ORIG,STANDARD,2019,20191121,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ATENOLOL,197379,50VV3VW0TI
ANDA211038,ANDA,SUVEN PHARMS,CALCIUM ACETATE,CALCIUM ACETATE,"Rising Pharma Holdings, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2020,20201117,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,CALCIUM ACETATE,359296,Y882YXF34X
ANDA075492,ANDA,VPNA,DICLOFENAC SODIUM,DICLOFENAC SODIUM,Oceanside Pharmaceuticals,Prescription,,,,AP,SUPPL,STANDARD,2024,20241121,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",DICLOFENAC SODIUM,855657,QTG126297Q
NDA050785,NDA,US ANTIBIOTICS,AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN AND CLAVULANATE POTASSIUM,"USAntibiotics, LLC",Prescription,,,,AP,SUPPL,STANDARD,2008,20080417,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",AMOXICILLIN,617995,804826J2HU
ANDA077397,ANDA,INVAGEN PHARMS,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,Quallent Pharmaceuticals Health LLC,Prescription,,,,AP,SUPPL,STANDARD,2020,20200221,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,SERTRALINE HYDROCHLORIDE,312938,UTI8907Y6X
ANDA212046,ANDA,MILLA PHARMS,DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE MESYLATE,Provepharm Inc.,Prescription,,,,AP,SUPPL,STANDARD,2024,20240828,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DIHYDROERGOTAMINE MESYLATE,861672,81AXN7R2QT
ANDA213614,ANDA,MANKIND PHARMA,ALOSETRON,ALOSETRON,Lifestar Pharma LLC,Prescription,,,,AP,SUPPL,,2023,20230908,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ALOSETRON HYDROCHLORIDE,259306,2F5R1A46YW
ANDA090766,ANDA,AMNEAL PHARMS,CETIRIZINE,CETIRIZINE HYDROCHLORIDE,Amneal Pharmaceuticals LLC,Prescription,,,,AP,ORIG,,2009,20091007,HUMAN PRESCRIPTION DRUG,ORAL,SOLUTION,CETIRIZINE HYDROCHLORIDE,1014673,64O047KTOA
ANDA090474,ANDA,APOZEAL PHARMS,CETIRIZINE HYDROCHLORIDE,CETRIZINE HYDROCHLORIDE,APOZEAL PHARMACEUTICALS INC,Over-the-counter,,,,AP,ORIG,,2009,20090330,HUMAN OTC DRUG,ORAL,SOLUTION,CETIRIZINE HYDROCHLORIDE,1014673,64O047KTOA
