application_number,application_type,sponsor_name,generic_name,brand_name,manufacturer_name,marketing_status,therapeutic_class_epc,therapeutic_class_cs,mechanism_of_action,regulatory_action_type,submission_type,review_priority,approval_year,submission_status_date,product_type,route,dosage_form,substance_name,rxcui,unii
NDA209935,NDA,NOVARTIS,LETROZOLE AND RIBOCICLIB,KISQALI FEMARA CO-PACK,Novartis Pharmaceuticals Corporation,Prescription,,,,AP,SUPPL,STANDARD,2024,20240917,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,,153124,
ANDA075302,ANDA,MANKIND PHARMA,FAMOTIDINE,FAMOTIDINE,Lifestar Pharma LLC,Prescription,Histamine-2 Receptor Antagonist [EPC],,Histamine H2 Receptor Antagonists [MoA],AP,SUPPL,,2002,20020325,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,FAMOTIDINE,284245,5QZO15J2Z8
ANDA040885,ANDA,LGM PHARMA,"BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE","BUTALBITAL, ACETAMINOPHEN, AND CAFFEINE","Actavis Pharma, Inc.",Prescription,Barbiturate [EPC],Barbiturates [CS],,AP,SUPPL,STANDARD,2014,20140430,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,ACETAMINOPHEN,889520,362O9ITL9D
ANDA065096,ANDA,TEVA PHARMS USA,AMOXICILLIN AND CLAVULANATE POTASSIUM,AMOXICILLIN AND CLAVULANATE POTASSIUM,"Teva Pharmaceuticals USA, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2024,20240424,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,AMOXICILLIN,562508,Q42OMW3AT8
ANDA074174,ANDA,NOVITIUM PHARMA,ALPRAZOLAM,ALPRAZOLAM,"ANI Pharmaceuticals, Inc.",Prescription,Benzodiazepine [EPC],Benzodiazepines [CS],,AP,SUPPL,,2007,20070308,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ALPRAZOLAM,197321,YU55MQ3IZY
ANDA205448,ANDA,IPCA LABS LTD,ETODOLAC,ETODOLAC,Ipca Laboratories Limited,Prescription,Nonsteroidal Anti-inflammatory Drug [EPC],"Anti-Inflammatory Agents, Non-Steroidal [CS]",Cyclooxygenase Inhibitors [MoA],AP,ORIG,STANDARD,2024,20240801,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,ETODOLAC,197684,2M36281008
ANDA202602,ANDA,ZYDUS PHARMS,EXEMESTANE,EXEMESTANE,Zydus Pharmaceuticals USA Inc.,Prescription,Aromatase Inhibitor [EPC],,Aromatase Inhibitors [MoA],AP,SUPPL,STANDARD,2025,20250610,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,EXEMESTANE,310261,NY22HMQ4BX
NDA018508,NDA,BAXTER HLTHCARE,"SODIUM CHLORIDE, POTASSIUM CHLORIDE, MAGNESIUM SULFATE, SODIUM PHOSPHATE, AND POTASSIUM PHOSPHATE",TIS-U-SOL,Baxter Healthcare Corporation,Prescription,,,,AP,SUPPL,STANDARD,1994,19940930,HUMAN PRESCRIPTION DRUG,IRRIGATION,SOLUTION,MAGNESIUM SULFATE HEPTAHYDRATE,801442,SK47B8698T
NDA215110,NDA,ABBVIE,GLECAPREVIR AND PIBRENTASVIR,MAVYRET,AbbVie Inc.,Prescription,Hepatitis C Virus NS3/4A Protease Inhibitor [EPC],,HCV NS3/4A Protease Inhibitors [MoA],AP,ORIG,PRIORITY,2021,20210610,HUMAN PRESCRIPTION DRUG,ORAL,PELLETS,GLECAPREVIR,1940703,K6BUU8J72P
NDA019194,NDA,BAUSCH,TRIENTINE HYDROCHLORIDE,SYPRINE,Bausch Health US LLC,Prescription,,,,AP,SUPPL,STANDARD,2001,20010117,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,TRIENTINE HYDROCHLORIDE,208720,HC3NX54582
NDA019668,NDA,VIATRIS,DOXAZOSIN,DOXAZOSIN,Mylan Pharmaceuticals Inc.,Prescription,,,,AP,SUPPL,STANDARD,2006,20060228,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,DOXAZOSIN MESYLATE,197625,86P6PQK0MU
ANDA200744,ANDA,FOUGERA PHARMS INC,TACROLIMUS,TACROLIMUS,"E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC",Prescription,,,,AP,SUPPL,UNKNOWN,2015,20150429,HUMAN PRESCRIPTION DRUG,TOPICAL,OINTMENT,TACROLIMUS,313189,WM0HAQ4WNM
NDA201739,NDA,KALEO INC,EPINEPHRINE,AUVI-Q,"kaleo, Inc",Prescription,alpha-Adrenergic Agonist [EPC],Catecholamines [CS],Adrenergic alpha-Agonists [MoA],AP,SUPPL,STANDARD,2017,20171117,HUMAN PRESCRIPTION DRUG,"INTRAMUSCULAR, SUBCUTANEOUS",SOLUTION,EPINEPHRINE,1305268,YKH834O4BH
ANDA203326,ANDA,HIKMA,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE DIHYDRATE,BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE DIHYDRATE,Hikma Pharmaceuticals USA Inc.,Prescription,,,,AP,SUPPL,,2025,20250221,HUMAN PRESCRIPTION DRUG,SUBLINGUAL,TABLET,BUPRENORPHINE HYDROCHLORIDE,351266,56W8MW3EN1
NDA202317,NDA,HELSINN,MECHLORETHAMINE HYDROCHLORIDE,VALCHLOR,"Helsinn Therapeutics (U.S.), Inc.",Prescription,Alkylating Drug [EPC],,Alkylating Activity [MoA],AP,SUPPL,STANDARD,2020,20200501,HUMAN PRESCRIPTION DRUG,TOPICAL,GEL,MECHLORETHAMINE,1437711,50D9XSG0VR
ANDA216040,ANDA,MEITHEAL,BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Meitheal Pharmaceuticals Inc,Prescription,,,,AP,ORIG,STANDARD,2023,20231227,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,BUPIVACAINE HYDROCHLORIDE,1724786,7TQO7W3VT8
ANDA215043,ANDA,NOVITIUM PHARMA,FAMOTIDINE,FAMOTIDINE,"ANI Pharmaceuticals, Inc.",Prescription,Histamine-2 Receptor Antagonist [EPC],,Histamine H2 Receptor Antagonists [MoA],AP,ORIG,STANDARD,2021,20210420,HUMAN PRESCRIPTION DRUG,ORAL,FOR SUSPENSION,FAMOTIDINE,310274,5QZO15J2Z8
ANDA072488,ANDA,TEVA,FLUOCINONIDE,FLUOCINONIDE,"Teva Pharmaceuticals USA, Inc.",Prescription,Corticosteroid [EPC],,Corticosteroid Hormone Receptor Agonists [MoA],AP,SUPPL,,1996,19960613,HUMAN PRESCRIPTION DRUG,TOPICAL,CREAM,FLUOCINONIDE,103456,2W4A77YPAN
NDA212028,NDA,EISAI INC,LEMBOREXANT,DAYVIGO,Eisai Inc.,Prescription,Orexin Receptor Antagonist [EPC],,Orexin Receptor Antagonists [MoA],AP,SUPPL,STANDARD,2020,20200825,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,LEMBOREXANT,2272408,0K5743G68X
ANDA204597,ANDA,SCIEGEN PHARMS,FLUOXETINE HYDROCHLORIDE,FLUOXETINE,"Vensun Pharmaceuticals, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2024,20240109,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,FLUOXETINE HYDROCHLORIDE,310384,I9W7N6B1KJ
NDA018841,NDA,PFIZER,OXAPROZIN,DAYPRO,Pfizer Laboratories Div Pfizer Inc,Prescription,Nonsteroidal Anti-inflammatory Drug [EPC],"Anti-Inflammatory Agents, Non-Steroidal [CS]",Cyclooxygenase Inhibitors [MoA],AP,SUPPL,STANDARD,1998,19980106,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,OXAPROZIN,207243,MHJ80W9LRB
NDA019904,NDA,BAXTER HLTHCARE,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,Baxter Healthcare Corporation,Prescription,,,,AP,SUPPL,STANDARD,1994,19940601,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,POTASSIUM CHLORIDE,312507,660YQ98I10
ANDA079111,ANDA,AUROBINDO PHARMA,RIBAVIRIN,RIBAVIRIN,Aurobindo Pharma Limited,Prescription,Nucleoside Analog Antiviral [EPC],,,AP,SUPPL,STANDARD,2023,20230419,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,RIBAVIRIN,248109,49717AWG6K
ANDA076624,ANDA,SUN PHARMA CANADA,MOMETASONE FUROATE,MOMETASONE FUROATE,"Sun Pharmaceutical Industries, Inc.",Discontinued,,,,AP,SUPPL,STANDARD,2019,20190519,HUMAN PRESCRIPTION DRUG,TOPICAL,OINTMENT,MOMETASONE FUROATE,151029,04201GDN4R
ANDA210327,ANDA,SHILPA,DOCETAXEL,DOCETAXEL,Armas Pharmaceuticals Inc.,Prescription,,,,AP,SUPPL,STANDARD,2020,20200928,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DOCETAXEL,1861411,15H5577CQD
NDA209988,NDA,SCPHARMACEUTICALS,FUROSEMIDE INJECTION 80 MG/ 10 ML,FUROSCIX,scPharmaceuticals Inc.,Prescription,Loop Diuretic [EPC],,,AP,ORIG,STANDARD,2022,20221007,HUMAN PRESCRIPTION DRUG,SUBCUTANEOUS,SOLUTION,FUROSEMIDE,2621022,7LXU5N7ZO5
ANDA210333,ANDA,MEITHEAL,PHENYLEPHRINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE,Meitheal Pharmaceuticals Inc.,Prescription,,,,AP,SUPPL,STANDARD,2020,20201124,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,PHENYLEPHRINE HYDROCHLORIDE,1232651,04JA59TNSJ
ANDA207138,ANDA,ACCORD HLTHCARE,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,"Accord Healthcare, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2023,20230202,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",OXYBUTYNIN CHLORIDE,863619,L9F3D9RENQ
NDA020124,NDA,US ARMY,DIAZEPAM,DIAZEPAM,Meridian Medical Technologies LLC,Discontinued,Benzodiazepine [EPC],Benzodiazepines [CS],,AP,SUPPL,STANDARD,2023,20230113,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,DIAZEPAM,1807452,Q3JTX2Q7TU
ANDA218371,ANDA,RUBICON RESEARCH,HALOPERIDOL,HALOPERIDOL,Advagen Pharma Ltd,Prescription,Typical Antipsychotic [EPC],,,AP,SUPPL,STANDARD,2025,20250122,HUMAN PRESCRIPTION DRUG,ORAL,CONCENTRATE,HALOPERIDOL,141935,J6292F8L3D
ANDA202053,ANDA,REGCON HOLDINGS,DORZOLAMIDE HYDROCHLORIDE OPHTHALMIC,DORZOLAMIDE HYDROCHLORIDE OPHTHALMIC,"Florida Pharmaceutical Products, LLC",Prescription,,,,AP,ORIG,,2014,20140911,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,SOLUTION/DROPS,DORZOLAMIDE HYDROCHLORIDE,310015,QZO5366EW7
BLA125409,BLA,GENENTECH,PERTUZUMAB,PERJETA,"Genentech, Inc.",Prescription,HER2/neu Receptor Antagonist [EPC],,HER2/Neu/cerbB2 Antagonists [MoA],AP,SUPPL,STANDARD,2016,20160322,HUMAN PRESCRIPTION DRUG,SINGLE-USE,VIAL,PERTUZUMAB,1298948,K16AIQ8CTM
NDA022332,NDA,ELI LILLY CO,TADALAFIL,ADCIRCA,United Therapeutics Corporation,Prescription,Phosphodiesterase 5 Inhibitor [EPC],,Phosphodiesterase 5 Inhibitors [MoA],AP,SUPPL,STANDARD,2020,20200915,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,TADALAFIL,849866,742SXX0ICT
ANDA215738,ANDA,ZHEJIANG POLY PHARM,FLUCONAZOLE,FLUCONAZOLE,"Zhejiang Poly Pharm. Co., Ltd.",Prescription,Azole Antifungal [EPC],Azoles [CS],Cytochrome P450 2C19 Inhibitors [MoA],AP,ORIG,STANDARD,2023,20230921,HUMAN PRESCRIPTION DRUG,ORAL,FOR SUSPENSION,FLUCONAZOLE,310353,8VZV102JFY
ANDA074151,ANDA,TEVA,CIMETIDINE,CIMETIDINE,"Teva Pharmaceuticals USA, Inc.",Prescription,Histamine-2 Receptor Antagonist [EPC],,Histamine H2 Receptor Antagonists [MoA],AP,SUPPL,,1999,19990121,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,CIMETIDINE,197506,80061L1WGD
ANDA078115,ANDA,TARO,CARBAMAZEPINE,CARBAMAZEPINE,"Sun Pharmaceutical Industries, Inc.",Prescription,Mood Stabilizer [EPC],,Cytochrome P450 3A4 Inducers [MoA],AP,SUPPL,STANDARD,2013,20130613,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",CARBAMAZEPINE,197442,33CM23913M
NDA213227,NDA,CURIUM,COPPER CU 64 DOTATATE,DETECTNET,CURIUM US LLC,Prescription,Radioactive Diagnostic Agent [EPC],,Positron Emitting Activity [MoA],AP,ORIG,PRIORITY,2020,20200903,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,SOLUTION,COPPER OXODOTREOTIDE CU-64,,N3858377KC
ANDA208369,ANDA,DR REDDYS,GUAIFENESIN AND PSEUDOEPHEDRINE HCL,GUAIFENESIN AND PSEUDOEPHEDRINE HCL,Dr. Reddys Laboratories Limited,Over-the-counter,Expectorant [EPC],,,AP,ORIG,STANDARD,2017,20171229,HUMAN OTC DRUG,ORAL,"TABLET, EXTENDED RELEASE",GUAIFENESIN,1244675,495W7451VQ
ANDA210179,ANDA,NAVINTA LLC,CARMUSTINE,CARMUSTINE,Zydus Pharmaceuticals USA Inc.,Prescription,,,,AP,ORIG,STANDARD,2018,20180911,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,,309012,
ANDA091312,ANDA,CHARTWELL RX,CALCIUM ACETATE,CALCIUM ACETATE,"Chartwell RX, LLC.",Prescription,,,,AP,ORIG,,2012,20120601,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,CALCIUM ACETATE,359296,Y882YXF34X
ANDA077915,ANDA,HOSPIRA,IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,"Hospira, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2023,20230515,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,IRINOTECAN HYDROCHLORIDE,1726319,042LAQ1IIS
ANDA207241,ANDA,FRESENIUS KABI USA,LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,"Fresenius Kabi USA, LLC",Prescription,,,,AP,ORIG,STANDARD,2018,20180314,HUMAN PRESCRIPTION DRUG,"INTRAMUSCULAR, INTRAVENOUS",SOLUTION,LEUCOVORIN CALCIUM,2099993,RPR1R4C0P4
ANDA206203,ANDA,EXELA PHARMA,POTASSIUM ACETATE,POTASSIUM ACETATE,"Exela Pharma Sciences, LLC",Discontinued,,,,AP,ORIG,STANDARD,2015,20151229,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,POTASSIUM ACETATE,237381,M911911U02
ANDA216441,ANDA,ZYDUS PHARMS,FAMOTIDINE,FAMOTIDINE,Zydus Lifesciences Limited,Prescription,Histamine-2 Receptor Antagonist [EPC],,Histamine H2 Receptor Antagonists [MoA],AP,ORIG,STANDARD,2022,20220603,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,FAMOTIDINE,284245,5QZO15J2Z8
NDA050573,NDA,NOVARTIS,CYCLOSPORINE,SANDIMMUNE,Novartis Pharmaceuticals Corporation,Prescription,Calcineurin Inhibitor Immunosuppressant [EPC],,Calcineurin Inhibitors [MoA],AP,SUPPL,STANDARD,2003,20030214,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,CYCLOSPORINE,197552,83HN0GTJ6D
ANDA214443,ANDA,HARMAN FINOCHEM,ALLOPURINOL,ALLOPURINOL,Harman Finochem Limited,Prescription,Xanthine Oxidase Inhibitor [EPC],,Xanthine Oxidase Inhibitors [MoA],AP,SUPPL,STANDARD,2024,20240308,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ALLOPURINOL,197319,63CZ7GJN5I
ANDA076515,ANDA,SANDOZ,OMEPRAZOLE,OMEPRAZOLE,Sandoz Inc,Prescription,Proton Pump Inhibitor [EPC],,Proton Pump Inhibitors [MoA],AP,SUPPL,,2011,20110104,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, DELAYED REL PELLETS",OMEPRAZOLE,200329,KG60484QX9
ANDA204289,ANDA,SAGENT PHARMS INC,PALONOSETRON HYDROCHLORIDE,PALONOSETRON HYDROCHLORIDE,Sagent Pharmaceuticals,Prescription,,,,AP,SUPPL,STANDARD,2025,20250324,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,INJECTABLE,PALONOSETRON HYDROCHLORIDE,1728055,23310D4I19
ANDA215324,ANDA,STERISCIENCE,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,"XGen Pharmaceuticals DJB, Inc.",Prescription,,,,AP,ORIG,STANDARD,2025,20251002,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,POWDER,VANCOMYCIN HYDROCHLORIDE,2049888,71WO621TJD
ANDA211422,ANDA,CHIA TAI TIANQING,FULVESTRANT,FULVESTRANT,Sagent Pharmaceuticals,Prescription,Estrogen Receptor Antagonist [EPC],,Estrogen Receptor Antagonists [MoA],AP,ORIG,STANDARD,2020,20200207,HUMAN PRESCRIPTION DRUG,INTRAMUSCULAR,SOLUTION,FULVESTRANT,727762,22X328QOC4
NDA021588,NDA,NOVARTIS,IMATINIB MESYLATE,GLEEVEC,Novartis Pharmaceuticals Corporation,Prescription,,,,AP,SUPPL,STANDARD,2006,20060531,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,IMATINIB MESYLATE,403878,8A1O1M485B
ANDA202490,ANDA,AUROBINDO PHARMA LTD,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,"Rising Pharma Holdings, Inc.",Prescription,,,,AP,SUPPL,STANDARD,2020,20201006,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,RIZATRIPTAN BENZOATE,312840,WR978S7QHH
ANDA209063,ANDA,BRECKENRIDGE,RIVASTIGMINE,RIVASTIGMINE TRANSDERMAL SYSTEM,"Breckenridge Pharmaceutical, Inc.",Prescription,Cholinesterase Inhibitor [EPC],,Cholinesterase Inhibitors [MoA],AP,ORIG,STANDARD,2019,20191126,HUMAN PRESCRIPTION DRUG,TRANSDERMAL,"FILM, EXTENDED RELEASE",RIVASTIGMINE,725021,PKI06M3IW0
NDA207500,NDA,ASTELLAS,ISAVUCONAZONIUM SULFATE,CRESEMBA,"Astellas Pharma US, Inc.",Prescription,,,,AP,SUPPL,N/A,2022,20221122,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,ISAVUCONAZONIUM SULFATE,1608327,31Q44514JV
NDA012429,NDA,WAYLIS THERAP,THIOGUANINE,TABLOID,Waylis Therapeutics LLC,Prescription,,,,AP,SUPPL,STANDARD,2004,20041115,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,THIOGUANINE,105590,FTK8U1GZNX
NDA021618,NDA,MISSION PHARMA,TINIDAZOLE,TINDAMAX,Mission Pharmacal Company,Prescription,Nitroimidazole Antimicrobial [EPC],Nitroimidazoles [CS],,AP,SUPPL,STANDARD,2020,20201009,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,TINIDAZOLE,199519,033KF7V46H
ANDA090778,ANDA,AUROBINDO PHARMA LTD,DULOXETINE HYDROCHLORIDE,DULOXETINE,Aurobindo Pharma Limited,Prescription,,,,AP,SUPPL,STANDARD,2019,20190819,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, DELAYED REL PELLETS",DULOXETINE HYDROCHLORIDE,596926,9044SC542W
ANDA076649,ANDA,RISING,CARVEDILOL,CARVEDILOL,Dr. Reddy's Laboratories Limited,Prescription,alpha-Adrenergic Blocker [EPC],,Adrenergic alpha-Antagonists [MoA],AP,SUPPL,,2013,20130507,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,CARVEDILOL,200031,0K47UL67F2
ANDA213485,ANDA,CSPC OUYI,PAROXETINE,PAROXETINE,"Westminster Pharmaceuticals, LLC",Prescription,,,,AP,ORIG,STANDARD,2021,20210216,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",PAROXETINE HYDROCHLORIDE,1738803,X2ELS050D8
ANDA090456,ANDA,STRIDES PHARMA,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,Strides Pharma Science Limited,Prescription,,,,AP,ORIG,,2010,20100610,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,MYCOPHENOLATE MOFETIL,199058,9242ECW6R0
ANDA075576,ANDA,DR REDDYS LABS LTD,OMEPRAZOLE,OMEPRAZOLE,Quallent Pharmaceuticals Health LLC,Prescription,Proton Pump Inhibitor [EPC],,Proton Pump Inhibitors [MoA],AP,SUPPL,STANDARD,2015,20150102,HUMAN PRESCRIPTION DRUG,ORAL,"CAPSULE, DELAYED REL PELLETS",OMEPRAZOLE,198051,KG60484QX9
BLA761099,BLA,PFIZER INC,BEVACIZUMAB-BVZR,ZIRABEV,Pfizer Laboratories Div Pfizer Inc,Prescription,Vascular Endothelial Growth Factor Inhibitor [EPC],,Vascular Endothelial Growth Factor-directed Antibody Interactions [MoA],AP,SUPPL,STANDARD,2021,20210209,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,BEVACIZUMAB,2268039,2S9ZZM9Q9V
ANDA216857,ANDA,CONBA USA,ENTECAVIR,ENTECAVIR,"Epic Pharma, LLC",Prescription,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],,Nucleoside Reverse Transcriptase Inhibitors [MoA],AP,ORIG,STANDARD,2024,20241223,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,ENTECAVIR ANHYDROUS,485434,NNU2O4609D
ANDA203534,ANDA,JUBILANT GENERICS,IRBESARTAN,IRBESARTAN,AvKARE,Prescription,Angiotensin 2 Receptor Blocker [EPC],,Angiotensin 2 Receptor Antagonists [MoA],AP,SUPPL,STANDARD,2016,20161202,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,IRBESARTAN,200094,J0E2756Z7N
ANDA076419,ANDA,PADAGIS ISRAEL,KETOCONAZOLE,KETOCONAZOLE,Northstar Rx LLC,Prescription,Azole Antifungal [EPC],Azoles [CS],Cytochrome P450 3A4 Inhibitors [MoA],AP,SUPPL,STANDARD,2015,20150831,HUMAN PRESCRIPTION DRUG,TOPICAL,SHAMPOO,KETOCONAZOLE,106336,R9400W927I
BLA103770,BLA,SWEDISH ORPHAN,PALIVIZUMAB,SYNAGIS,Swedish Orphan Biovitrum AB (publ),Prescription,Respiratory Syncytial Virus Anti-F Protein Monoclonal Antibody [EPC],"Antibodies, Monoclonal [CS]",Fusion Protein Inhibitors [MoA],AP,SUPPL,STANDARD,2014,20140321,HUMAN PRESCRIPTION DRUG,,VIAL,PALIVIZUMAB,1657341,DQ448MW7KS
NDA022231,NDA,MALLINCKRODT IRELAND,TERLIPRESSIN,TERLIVAZ,Mallinckrodt Hospital Products Inc.,Prescription,Vasopressin Receptor Agonist [EPC],,Vasopressin Receptor Agonists [MoA],AP,ORIG,PRIORITY,2022,20220914,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,POWDER,TERLIPRESSIN,2612431,7Z5X49W53P
NDA205109,NDA,VIFOR FRESENIUS,SUCROFERRIC OXYHYDROXIDE,VELPHORO,"Fresenius Medical Care Renal Therapies Group, LLC",Prescription,Phosphate Binder [EPC],,Phosphate Chelating Activity [MoA],AP,SUPPL,STANDARD,2020,20200228,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, CHEWABLE",FERRIC OXYHYDROXIDE,,87PZU03K0K
ANDA080016,ANDA,CHARTWELL MOLECULAR,PROPYLTHIOURACIL,PROPYLTHIOURACIL,"Chartwell RX, LLC",Discontinued,Thyroid Hormone Synthesis Inhibitor [EPC],,Thyroid Hormone Synthesis Inhibitors [MoA],AP,SUPPL,,1990,19900831,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,PROPYLTHIOURACIL,198175,721M9407IY
ANDA202957,ANDA,SHENZHEN TECHDOW,HEPARIN SODIUM,HEPARIN SODIUM,Sandoz Inc.,Prescription,,,,AP,ORIG,,2014,20140612,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,HEPARIN SODIUM,1361226,ZZ45AB24CA
NDA021008,NDA,NOVARTIS,OCTREOTIDE ACETATE,SANDOSTATIN LAR DEPOT,Novartis Pharmaceuticals Corporation,Prescription,,,,AP,SUPPL,PRIORITY,1999,19990713,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,,898589,
ANDA091286,ANDA,AJENAT PHARMS,GABAPENTIN,GABAPENTIN,Ajenat Pharmaceuticals LLC,Prescription,,,,AP,ORIG,,2016,20160314,HUMAN PRESCRIPTION DRUG,ORAL,SOLUTION,GABAPENTIN,283523,6CW7F3G59X
NDA021009,NDA,ALLERGAN,NEDOCROMIL SODIUM,ALOCRIL,"Allergan, Inc.",Discontinued,,,,AP,SUPPL,PRIORITY,2002,20020308,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,SOLUTION/DROPS,NEDOCROMIL SODIUM,897292,ET8IF4KS1T
ANDA206153,ANDA,REGCON HOLDINGS,RASAGILINE MESYLATE,RASAGILINE MESYLATE,Avet Pharmaceuticals Inc.,Prescription,,,,AP,ORIG,STANDARD,2019,20191004,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,RASAGILINE MESYLATE,608328,LH8C2JI290
ANDA080692,ANDA,FOUGERA PHARMS,HYDROCORTISONE,HYDROCORTISONE,"E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC",Prescription,Corticosteroid [EPC],,Corticosteroid Hormone Receptor Agonists [MoA],AP,SUPPL,,1987,19870730,HUMAN PRESCRIPTION DRUG,TOPICAL,OINTMENT,HYDROCORTISONE,203105,WI4X0X7BPJ
ANDA202917,ANDA,SUN PHARM,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,"Sun Pharmaceutical Industries, Inc.",Discontinued,,,,AP,ORIG,,2016,20160801,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",METFORMIN HYDROCHLORIDE,1807888,786Z46389E
ANDA218401,ANDA,AJANTA PHARMA LTD,THEOPHYLLINE,THEOPHYLLINE,Ajanta Pharma USA Inc.,Discontinued,Methylxanthine [EPC],Xanthines [CS],,AP,ORIG,STANDARD,2025,20250113,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",THEOPHYLLINE ANHYDROUS,314241,0I55128JYK
ANDA202202,ANDA,AMNEAL PHARMS,WARFARIN,WARFARIN SODIUM,Amneal Pharmaceuticals LLC,Prescription,,,,AP,SUPPL,STANDARD,2022,20220823,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,WARFARIN SODIUM,855288,6153CWM0CL
ANDA073548,ANDA,SUN PHARMA CANADA,DESONIDE,DESONIDE,"Sun Pharmaceutical Industries, Inc.",Prescription,Corticosteroid [EPC],,Corticosteroid Hormone Receptor Agonists [MoA],AP,SUPPL,,1999,19990618,HUMAN PRESCRIPTION DRUG,TOPICAL,CREAM,DESONIDE,204135,J280872D1O
